0	0.00682	world	request	projects	aid	products	food	supply	programme	butteroil	pood
		-0.0679625161	0.1430931187	0.1669977033	0.0824737488	0.2920154636	0.2964474854	/	/	/	
2	0.0006	quoted	spot	produced	date	sugar	export	quota	excess	maximum	licence
		-0.0031933482	0.0222508444	0.0568610446	0.041573355	0.3005982155	0.3412166869	0.17355068	0.4101560142	/	
4	0.00121	spring	structure	manpower	states	statistical	sample	population	households	survey	surveys
		0.0265857741	0.1003136856	0.1412608462	0.1052009236	0.2209106601	0.1633724634	0.4384251843	0.3666387527	0.8096452088	
5	0.00121	advisory	study	high	project	technical	water	material	nuclear	fuels	energy
		0.2511364916	0.0688191474	0.0510868508	0.2354749027	0.1019891718	0.16912139	0.1800832145	0.1977536383	0.4527710205	
6	0.02495	november	end	communication	meeting	commission	general	industries	industry	programme	community’s
		0.0312462918	0.0195871515	0.2307724401	0.2925240134	0.1854553665	0.1265206986	0.7279238575	/	/	
8	0.00182	bangladesh	relevant	people’s	government	trade	handlooms	woven	cotton	fabrics	silk
		0.0938563595	0.1326094313	0.2258777661	0.1473436053	0.1457399547	0.2815849701	0.3487995964	0.5005490345	0.6196866832	
9	0.00121	formation	years	compensation	relative	competitiveness	costs	recession	ration	figures	rise
		0.0424207875	0.1136269274	0.1151905975	0.1654661218	0.1738456037	0.2039988748	0.0176373998	0.0466751237	0.2581625492	
11	0.0093	period	trend	gross	current	savings	oil	energy	supply	production	consumption
		0.1700619964	0.085869852	0.2211385124	0.1605976712	0.1095365288	0.4519186926	0.2935863043	0.3930777411	0.4190182219	
13	0.00363	broken	threshold	brewers	stand	quality	variety	milled	rice	husked	long-grained
		0.0452703854	0.0977550003	-0.0023385624	0.0349500407	0.2727042732	0.1253825657	0.2130108208	0.4535312289	/	
14	0.00182	elimination	implied	clothing	effect	discretionary	petroleum	industrial	industries	component	components
		0.0336704726	0.0729638568	0.0408427371	0.1046217223	0.1689498741	0.3339990643	0.4610788161	0.2279018206	0.71603407	
18	0.0006	north	norwegian	type	means	combat	dispersants	pollution	cooperation	agreements	ecofisk
		0.0839570093	0.1498816371	0.3226602364	0.1065614451	0.1761621798	0.3455458448	0.1289749131	0.432582763	/	
19	0.00488	entered	meetings	relating	sections	communities	appropriations	annex	property	maintenance	equipment
		0.0390240598	0.0915962879	0.1870582698	0.2532307921	0.1152280912	0.1715837471	0.3593303411	0.2114830101	0.3894248297	
20	0.00424	date	content	standards	methods	butter	water	frozen	cocks	chickens	hens
		0.0844797234	0.1941790145	0.3287109089	0.0774434533	0.1639681407	0.2272684019	0.117963933	0.3940427677	0.7652219093	
24	0.04837	present	problems	view	conditions	community	development	policy	countries	trade	market
		0.0746515375	0.0279755413	0.1394032875	0.0919498292	0.2630080851	0.1762692949	0.1335593188	0.2838790347	0.3441651851	
25	0.00245	soft	account	variable	applicable	countries	components	importation	goods	wheat	flour
		-0.0573999564	0.1481054929	0.2887637983	0.1295462683	0.2119646854	0.1638172168	0.3231724934	0.2497160322	0.5556617654	
28	0.00304	falling	exceeding	applicable	amounts	content	dry	cereals	rice	wheat	barley
		0.2109031887	0.2674481824	0.2269353507	0.1791552381	0.0747528199	0.1493511384	0.4564310443	0.6308331557	0.7612241553	
29	0.00426	promotions	negotiating	seek	loans	financial	situations	balance	nature	objectives	interests
		0.1099587276	0.2066741165	0.0593002975	0.3846750323	0.11556979	0.1654501862	0.1980736164	0.1989166274	0.351880478	
31	0.06862	conditions	article	member	case	relating	accordance	states	state	council	commission
		0.0561809626	0.1520864942	0.0424582679	0.181287827	0.3542477815	0.156678361	0.4525575497	0.1750202391	0.6064314944	
34	0.0006	governor	family	destination	directive	pressures	flame	injector	supplied	accordance	connection
		0.1456592412	0.1110520906	0.0601907891	0.1000699119	0.1397017917	0.1910263568	0.2381180306	0.1611430205	0.25831685	
35	0.01614	representative	applied	article	agricultural	measures	prices	rate	lira	italian	italy
		0.1131924791	0.0791109508	0.0485697015	0.1280530618	0.182244204	0.3492668292	0.1995988048	0.2630081113	0.0526164708	
36	0.01701	united	year	terms	increase	prices	rate	policy	monetary	economic	employment
		-0.0059532646	0.1805149123	0.256204751	0.3492668292	0.278201795	0.3082008425	0.4159141651	0.4712837258	0.7664012231	
37	0.00061	accidental	effects	research	information	equipment	discharges	sea	hydrocarbons	oil	gas
		0.1068652755	0.1837878511	0.2347978604	0.234374258	0.08157898	0.1763344302	0.2571107633	0.6294024081	0.7105980872	
38	0.00244	agreement	information	field	referred	fusion	thermonuclear	sweden	swedish	programme	euratom
		0.104070147	0.0092240498	-0.0270592321	0.0997488322	0.3646420021	0.1407949108	0.5358019821	/	/	/
41	0.0087	recipient	date	european	country	economic	goods	delivery	loading	vessel	port
		0.0933336866	0.0507417816	0.2061550265	0.2798024001	0.2104894512	0.1738678516	0.3498299077	0.1985171366	0.5094784153	
43	0.00428	member	french	falling	circulation	treatment	states	free	apply	tariff	customs
		-0.1193465237	0.056949777	0.0643700988	0.076631605	0.0380837399	0.07811243	0.1950712929	0.1511637519	0.2771619598	
45	0.00304	agreement	including	apparatus	outer	synthetic	motor	electrical	wire	garments	leather
		-0.0074666148	0.0486640547	0.1257274301	0.195500316	0.154547578	0.3575137388	0.4162436916	0.1026172494	0.4224528284	
46	0.0006	lebanese	july	technical	states	trade	cooperation	extension	year	member	part
		0.3210479365	0.0604223055	0.0401520195	0.1025690819	0.2260011543	0.1626030826	0.1148142749	0.1463350586	0.2299248712	
48	0.00302	intervention	year	reduced	increase	sale	price	prices	milk	beef	veal
		-0.0176381519	0.1380145319	0.5280781265	0.1294166524	0.412856154	0.7490320841	0.2139659865	0.4280887499	0.6273409871	
49	0.0006	stone	percentage	undetermined	frames	remove	industries	countries	interlining	verifying	clarifying
		0.0740997063	0.0990575461	0.059019511	0.0422982072	0.033366413	0.3773000332	0.1704504791	0.1311077344	0.4312395687	
50	0.00428	september	minimum	strictly	measures	national	local	policy	law	fisheries	fishery
		0.0392923596	0.2661267884	0.1743966567	0.1156044131	0.4774751589	0.0993519505	0.458322526	0.1595345864	0.8880051614	
58	0.00183	lead	types	quantitative	copper	waste	scrap	export	quotas	quota	aluminium
		0.059123593	0.2524393253	0.0663197853	0.097860861	0.3166819462	0.2362631075	0.3641012826	0.8429092147	/	
59	0.00305	heading	weight	protocol	copper	material	customs	goods	textile	yarn	fibres
		0.0624769494	0.0476378456	0.0704041173	0.2803534502	0.1041369121	0.3152244624	0.318915328	0.4793933796	/	
61	0.00243	member	shock	kingdom	exchange	public	community	activity	gdp	inflation	unemployment
		0.0677221429	0.0202642884	0.0544982197	0.0887614149	0.3499086024	0.2028217171	0.1183077997	0.4083265768	0.4461533153	
62	0.00367	date	transitional	accession	measures	level	position	meeting	deputy	states	statement
		0.0475021158	0.2072879145	0.1623853041	0.2021308874	0.2770496775	0.1407664686	0.1735601531	0.0493048207	0.0027661769	
65	0.00242	exchange	letters	sardines	conclusion	prepared	arrangements	morocco	january	december	tunisia
		0.1113311352	0.0678779088	0.0219690733	0.1615353161	0.2115759577	0.1192990112	0.2586087786	0.6702613482	/	
67	0.0006	passing	traffic	directive	requirements	component	beam	headlight	lamp	type-approval	main-beam
		0.1979515445	0.0417153235	0.2884005526	0.2788379799	0.1247298093	0.2404888607	0.4522068761	/	/	
68	0.14721	european	regulation	article	regard	states	eec	member	community	council	commission
		0.106115778	0.085173311	0.2017402909	0.1797427524	0.1225860278	0.1668742842	0.1761206314	0.3517462098	0.6064314944	
70	0.00121	duties	sewing	circuits	level	imports	tubes	ceiling	ceilings	man-made	fibres
		0.0636352652	0.0864624778	0.1471067583	0.1266875985	0.1438078406	0.2717057712	0.7185468144	/	/	
71	0.00544	uniform	free	regulations	establishment	social	data	valuation	june	november	september
		0.0920454248	0.1201786839	0.1991995014	0.2157051744	0.0854463178	0.1621559842	0.1340850819	0.6568982911	0.7304255717	
72	0.02061	made	number	provided	important	order	system	greater	cooperation	sector	commercial
		0.113227376	0.0852459039	0.0986788911	0.1549386804	0.1968582948	0.1775035769	0.1493735676	0.1957468255	0.2992666276	
73	0.01253	bank	effective	public	maintain	cost	total	degree	extent	term	time
		0.0015864176	0.1034684573	0.1391583846	0.177045658	0.2949222597	0.1295150284	0.264929575	0.211803491	0.2758715	
74	0.00121	directive	article	natural	food	materials	foodstuffs	substances	substance	flavourings	flavouring
