Table 1;;;;;;;;;;;;;
;Keyword 1;Keyword 2;Keyword 3;Keyword 4;Keyword 5;Keyword 6;Keyword 7;Keyword 8;Keyword 9;Keyword 10;;;
Topic 0;labour;purchased;paid;income;holdings;land;farm;family;sheep;machinery;;;
Topic 1;women;men;discrimination;employment;vocational;training;treatment;equal;law;access;;;
Topic 2;reagents;manufacture;combination;consisting;form;identification;acid;circuit;weight;figures;;;
Topic 3;euratom;September;February;european;file;article;accordance;public;community;regulation;;;
Topic 4;obtenus;product;products;manufacture;materials;processing;produits;exceed;working;finished;;;
Topic 5;proposed;proposal;commission;council;decision;parliament;treaty;draft;community;european;;;
Topic 6;taxable;tax;exemption;transactions;goods;services;persons;person;amount;added;;;
Topic 7;france;germany;italy;belgium;ireland;netherlands;united;kingdom;states;member;;;
Topic 10;social;economic;community;development;policy;measures;action;commission;states;member;;;
Topic 11;u.s.;cigarettes;cigarette;tobacco;smoking;smoke;tar;surcharge;formula;yield;;;
Topic 12;employee;employees;company;companies;management;enterprise;law;council;collective;participation;;;
Topic 13;staff;salaries;servants;allowance;service;officials;secretary;regulations;communities;July;;;
Topic 14;average;rate;increase;total;level;number;figures;period;table;national;;;
Topic 15;parts;territories;including ;similar;heading;falling;wood;machines;article;beneficiary ;;;
Topic 16;labour;farms;farm;incomes;income;holdings ;region;returning;holding;england;;;
Topic 17;eua;budget;appropriations;expenditure;financial;million;year;chapter;article;ecu;;;
Topic 18;tariff;imports;customs;duties;protocol;agreement;products;states;member;community;;;
Topic 19;sales;market;products;agreement;treaty;undertakings;decision;commission;competition;article;;;
Topic 20;bonaire;electrical;voltage;intrinsically;standard;apparatus;safe;certificate;hotel;european;;;
Topic 21;vessel;vessels;waterway;waterways;inland;roads;vehicles;total;expenditure;category;;;
Topic 22;sugar;cereals;milk;wheat;beef;oil;products;intervention;marketing;year;;;
Topic 24;cheeses;cheese;milk;butter;fat;products;content;zealand;levy;special;;;
