doc_num,Nom du fichier,year,Taille (Ko),Dossier et nom
14261,1973_0001_COM_1973_0001_XM_PACKAGE.txt,1973,21.7705078125,H:\Corpus_commission\txt_files\1973_0001_COM_1973_0001_XM_PACKAGE.txt
14262,1973_0001_COM_1973_0002_XM_PACKAGE.txt,1973,20.017578125,H:\Corpus_commission\txt_files\1973_0001_COM_1973_0002_XM_PACKAGE.txt
14263,1973_0001_COM_1973_0003_XM_PACKAGE.txt,1973,6.36328125,H:\Corpus_commission\txt_files\1973_0001_COM_1973_0003_XM_PACKAGE.txt
14264,1973_0001_COM_1973_0004_XM_PACKAGE.txt,1973,40.1015625,H:\Corpus_commission\txt_files\1973_0001_COM_1973_0004_XM_PACKAGE.txt
14265,1973_0001_COM_1973_0005_XM_PACKAGE.txt,1973,37.0439453125,H:\Corpus_commission\txt_files\1973_0001_COM_1973_0005_XM_PACKAGE.txt
14266,1973_0001_COM_1973_0008_XM_PACKAGE.txt,1973,32.8173828125,H:\Corpus_commission\txt_files\1973_0001_COM_1973_0008_XM_PACKAGE.txt
14267,1973_0001_COM_1973_0009_XM_PACKAGE.txt,1973,32.1318359375,H:\Corpus_commission\txt_files\1973_0001_COM_1973_0009_XM_PACKAGE.txt
14268,1973_0001_COM_1973_0010_XM_PACKAGE.txt,1973,14.3193359375,H:\Corpus_commission\txt_files\1973_0001_COM_1973_0010_XM_PACKAGE.txt
14269,1973_0001_COM_1973_0011_XM_PACKAGE.txt,1973,5.6015625,H:\Corpus_commission\txt_files\1973_0001_COM_1973_0011_XM_PACKAGE.txt
14270,1973_0001_COM_1973_0012_XM_PACKAGE.txt,1973,5.1513671875,H:\Corpus_commission\txt_files\1973_0001_COM_1973_0012_XM_PACKAGE.txt
14271,1973_0001_COM_1973_0013_XM_PACKAGE.txt,1973,4.9951171875,H:\Corpus_commission\txt_files\1973_0001_COM_1973_0013_XM_PACKAGE.txt
14272,1973_0001_COM_1973_0015_XM_PACKAGE.txt,1973,112.7109375,H:\Corpus_commission\txt_files\1973_0001_COM_1973_0015_XM_PACKAGE.txt
14273,1973_0001_COM_1973_0016_XM_PACKAGE.txt,1973,112.8017578125,H:\Corpus_commission\txt_files\1973_0001_COM_1973_0016_XM_PACKAGE.txt
14274,1973_0001_COM_1973_0017_XM_PACKAGE.txt,1973,103.2373046875,H:\Corpus_commission\txt_files\1973_0001_COM_1973_0017_XM_PACKAGE.txt
14275,1973_0001_COM_1973_0018_XM_PACKAGE.txt,1973,28.236328125,H:\Corpus_commission\txt_files\1973_0001_COM_1973_0018_XM_PACKAGE.txt
14276,1973_0001_COM_1973_0019_XM_PACKAGE.txt,1973,32.53515625,H:\Corpus_commission\txt_files\1973_0001_COM_1973_0019_XM_PACKAGE.txt
14277,1973_0001_COM_1973_0020_XM_PACKAGE.txt,1973,50.681640625,H:\Corpus_commission\txt_files\1973_0001_COM_1973_0020_XM_PACKAGE.txt
14278,1973_0002_COM_1973_0021_XM_PACKAGE.txt,1973,48.5732421875,H:\Corpus_commission\txt_files\1973_0002_COM_1973_0021_XM_PACKAGE.txt
14279,1973_0002_COM_1973_0022_XM_PACKAGE.txt,1973,30.6865234375,H:\Corpus_commission\txt_files\1973_0002_COM_1973_0022_XM_PACKAGE.txt
14280,1973_0002_COM_1973_0023_XM_PACKAGE.txt,1973,200.248046875,H:\Corpus_commission\txt_files\1973_0002_COM_1973_0023_XM_PACKAGE.txt
14281,1973_0002_COM_1973_0024_XM_PACKAGE.txt,1973,78.166015625,H:\Corpus_commission\txt_files\1973_0002_COM_1973_0024_XM_PACKAGE.txt
14282,1973_0002_COM_1973_0025_XM_PACKAGE.txt,1973,35.072265625,H:\Corpus_commission\txt_files\1973_0002_COM_1973_0025_XM_PACKAGE.txt
14283,1973_0002_COM_1973_0026_XM_PACKAGE.txt,1973,37.6298828125,H:\Corpus_commission\txt_files\1973_0002_COM_1973_0026_XM_PACKAGE.txt
14284,1973_0002_COM_1973_0027_XM_PACKAGE.txt,1973,63.25,H:\Corpus_commission\txt_files\1973_0002_COM_1973_0027_XM_PACKAGE.txt
14285,1973_0003_COM_1973_0028_XM_PACKAGE.txt,1973,41.625,H:\Corpus_commission\txt_files\1973_0003_COM_1973_0028_XM_PACKAGE.txt
14286,1973_0003_COM_1973_0029_XM_PACKAGE.txt,1973,52.865234375,H:\Corpus_commission\txt_files\1973_0003_COM_1973_0029_XM_PACKAGE.txt
14287,1973_0003_COM_1973_0030_XM_PACKAGE.txt,1973,41.8544921875,H:\Corpus_commission\txt_files\1973_0003_COM_1973_0030_XM_PACKAGE.txt
14288,1973_0003_COM_1973_0031_XM_PACKAGE.txt,1973,6.513671875,H:\Corpus_commission\txt_files\1973_0003_COM_1973_0031_XM_PACKAGE.txt
14289,1973_0003_COM_1973_0032_XM_PACKAGE.txt,1973,8.1953125,H:\Corpus_commission\txt_files\1973_0003_COM_1973_0032_XM_PACKAGE.txt
14290,1973_0003_COM_1973_0033_XM_PACKAGE.txt,1973,8.2509765625,H:\Corpus_commission\txt_files\1973_0003_COM_1973_0033_XM_PACKAGE.txt
14291,1973_0003_COM_1973_0034_XM_PACKAGE.txt,1973,8.8291015625,H:\Corpus_commission\txt_files\1973_0003_COM_1973_0034_XM_PACKAGE.txt
14292,1973_0003_COM_1973_0035_XM_PACKAGE.txt,1973,14.615234375,H:\Corpus_commission\txt_files\1973_0003_COM_1973_0035_XM_PACKAGE.txt
14293,1973_0003_COM_1973_0036_XM_PACKAGE.txt,1973,34.337890625,H:\Corpus_commission\txt_files\1973_0003_COM_1973_0036_XM_PACKAGE.txt
14294,1973_0003_COM_1973_0037_XM_PACKAGE.txt,1973,52.7255859375,H:\Corpus_commission\txt_files\1973_0003_COM_1973_0037_XM_PACKAGE.txt
