topic_id;tokens1_19;match;ngramms;profondeur;BT1;MT;Domain;COMMENTAIRES
EU_en_Pres1-100_0;cereals|amounts|wheat|products|rice|regulation|applicable|falling|compensatory|referred|barley|content|starch|exceeding|weight|dry|eec|headings|matter;cereals;1;1;cereals;MT 6006 plant product;60 AGRI-FOODSTUFFS;Favoriser les MT ou BT1 qui appartiennent au même domaine ?!
EU_en_Pres1-100_0;;wheat;1;2;cereals;MT 6006 plant product;60 AGRI-FOODSTUFFS;Dans ce cas-ci, ce serait tout ce qui appartient à AGRI-FOODSTUFFS
EU_en_Pres1-100_0;;production;1;1;production;MT 6406 production;64 PRODUCTION, TECHNOLOGY AND RESEARCH;MT : plant product-foodstuff-food technology
EU_en_Pres1-100_0;;rice;1;2;cereals;MT 6006 plant product;60 AGRI-FOODSTUFFS;BT : cereals - processed food product - food preserving
EU_en_Pres1-100_0;;regulation;1;3;legislation;MT 1206 sources and branches of the law;12 LAW;> vérifier d'abord sur les 450 si le domain est pertinent 
EU_en_Pres1-100_0;;barley;1;2;cereals;MT 6006 plant product;60 AGRI-FOODSTUFFS;
EU_en_Pres1-100_0;;starch;1;2;processed food product;MT 6026 foodstuff;60 AGRI-FOODSTUFFS;
EU_en_Pres1-100_0;;drying;1;3;food preserving;MT 6036 food technology;60 AGRI-FOODSTUFFS;
EU_en_Pres1-100_0;;EEC;1;2;European Communities;MT 1016 European construction;10 EUROPEAN UNION;
EU_en_Pres1-100_0;;heading;1;3;information analysis;MT 3221 documentation;32 EDUCATION AND COMMUNICATIONS;
EU_en_Pres1-100_0;;cereal product;2;2;processed food product;MT 6026 foodstuff;60 AGRI-FOODSTUFFS;
EU_en_Pres1-100_0;;;;;;;;
EU_en_Pres1-100_1;country|recipient|european|community|economic|agreement|delivery|aid|goods|eec|article|agent|costs|loading|supply|products|port|referred|quantity;in country;2;4;euro area;MT 2406 monetary relations;24 FINANCE;
EU_en_Pres1-100_1;;Europeanism;1;3;European integration;MT 1016 European construction;10 EUROPEAN UNION;NOTE : la confusion entre aid et AIDS pose souvent problème
EU_en_Pres1-100_1;;economics;1;2;social sciences;MT 3611 humanities;36 SCIENCE;
EU_en_Pres1-100_1;;agreement ;1;2;EU relations;MT 1016 European construction;10 EUROPEAN UNION;
EU_en_Pres1-100_1;;delivery;1;2;distributive trades;MT 2036 distributive trades;20 TRADE;
EU_en_Pres1-100_1;;AIDS;1;4;sexually transmitted disease;MT 2841 health;28 SOCIAL QUESTIONS;
EU_en_Pres1-100_1;;EEC;1;2;European Communities;MT 1016 European construction;10 EUROPEAN UNION;
EU_en_Pres1-100_1;;costing;1;2;management accounting;MT 4026 accounting;40 BUSINESS AND COMPETITION;
EU_en_Pres1-100_1;;load;1;3;carriage of goods;MT 4811 organisation of transport;48 TRANSPORT;
EU_en_Pres1-100_1;;supply;1;1;supply;MT 2016 trade;20 TRADE;
EU_en_Pres1-100_1;;production;1;1;production;MT 6406 production;64 PRODUCTION, TECHNOLOGY AND RESEARCH;
EU_en_Pres1-100_1;;port;1;2;ports policy;MT 4821 maritime and inland waterway transport;48 TRANSPORT;
EU_en_Pres1-100_1;;recipient country;2;3;aid system;MT 0811 cooperation policy;08 INTERNATIONAL RELATIONS;
EU_en_Pres1-100_1;;European countries;2;1;European countries;MT 7206 Europe;72 GEOGRAPHY;
EU_en_Pres1-100_1;;;;;;;;
