topic_id,tokens1_19,match,ngramms,profondeur,BT1,MT,Domain
EU_en_Pres1-100_0,cereals|amounts|wheat|products|rice|regulation|applicable|falling|compensatory|referred|barley|content|starch|exceeding|weight|dry|eec|headings|matter,cereals,1,1,cereals,MT 6006 plant product,60 AGRI-FOODSTUFFS
EU_en_Pres1-100_0,cereals|amounts|wheat|products|rice|regulation|applicable|falling|compensatory|referred|barley|content|starch|exceeding|weight|dry|eec|headings|matter,wheat,1,2,cereals,MT 6006 plant product,60 AGRI-FOODSTUFFS
EU_en_Pres1-100_0,cereals|amounts|wheat|products|rice|regulation|applicable|falling|compensatory|referred|barley|content|starch|exceeding|weight|dry|eec|headings|matter,production,1,1,production,MT 6406 production,"64 PRODUCTION, TECHNOLOGY AND RESEARCH"
EU_en_Pres1-100_0,cereals|amounts|wheat|products|rice|regulation|applicable|falling|compensatory|referred|barley|content|starch|exceeding|weight|dry|eec|headings|matter,rice,1,2,cereals,MT 6006 plant product,60 AGRI-FOODSTUFFS
EU_en_Pres1-100_0,cereals|amounts|wheat|products|rice|regulation|applicable|falling|compensatory|referred|barley|content|starch|exceeding|weight|dry|eec|headings|matter,regulation,1,3,legislation,MT 1206 sources and branches of the law,12 LAW
EU_en_Pres1-100_0,cereals|amounts|wheat|products|rice|regulation|applicable|falling|compensatory|referred|barley|content|starch|exceeding|weight|dry|eec|headings|matter,barley,1,2,cereals,MT 6006 plant product,60 AGRI-FOODSTUFFS
EU_en_Pres1-100_0,cereals|amounts|wheat|products|rice|regulation|applicable|falling|compensatory|referred|barley|content|starch|exceeding|weight|dry|eec|headings|matter,starch,1,2,processed food product,MT 6026 foodstuff,60 AGRI-FOODSTUFFS
EU_en_Pres1-100_0,cereals|amounts|wheat|products|rice|regulation|applicable|falling|compensatory|referred|barley|content|starch|exceeding|weight|dry|eec|headings|matter,drying,1,3,food preserving,MT 6036 food technology,60 AGRI-FOODSTUFFS
EU_en_Pres1-100_0,cereals|amounts|wheat|products|rice|regulation|applicable|falling|compensatory|referred|barley|content|starch|exceeding|weight|dry|eec|headings|matter,EEC,1,2,European Communities,MT 1016 European construction,10 EUROPEAN UNION
EU_en_Pres1-100_0,cereals|amounts|wheat|products|rice|regulation|applicable|falling|compensatory|referred|barley|content|starch|exceeding|weight|dry|eec|headings|matter,heading,1,3,information analysis,MT 3221 documentation,32 EDUCATION AND COMMUNICATIONS
EU_en_Pres1-100_0,cereals|amounts|wheat|products|rice|regulation|applicable|falling|compensatory|referred|barley|content|starch|exceeding|weight|dry|eec|headings|matter,cereal product,2,2,processed food product,MT 6026 foodstuff,60 AGRI-FOODSTUFFS
EU_en_Pres1-100_1,country|recipient|european|community|economic|agreement|delivery|aid|goods|eec|article|agent|costs|loading|supply|products|port|referred|quantity,in country,2,4,euro area,MT 2406 monetary relations,24 FINANCE
EU_en_Pres1-100_1,country|recipient|european|community|economic|agreement|delivery|aid|goods|eec|article|agent|costs|loading|supply|products|port|referred|quantity,Europeanism,1,3,European integration,MT 1016 European construction,10 EUROPEAN UNION
EU_en_Pres1-100_1,country|recipient|european|community|economic|agreement|delivery|aid|goods|eec|article|agent|costs|loading|supply|products|port|referred|quantity,economics,1,2,social sciences,MT 3611 humanities,36 SCIENCE
EU_en_Pres1-100_1,country|recipient|european|community|economic|agreement|delivery|aid|goods|eec|article|agent|costs|loading|supply|products|port|referred|quantity,agreement ,1,2,EU relations,MT 1016 European construction,10 EUROPEAN UNION
EU_en_Pres1-100_1,country|recipient|european|community|economic|agreement|delivery|aid|goods|eec|article|agent|costs|loading|supply|products|port|referred|quantity,delivery,1,2,distributive trades,MT 2036 distributive trades,20 TRADE
EU_en_Pres1-100_1,country|recipient|european|community|economic|agreement|delivery|aid|goods|eec|article|agent|costs|loading|supply|products|port|referred|quantity,AIDS,1,4,sexually transmitted disease,MT 2841 health,28 SOCIAL QUESTIONS
EU_en_Pres1-100_1,country|recipient|european|community|economic|agreement|delivery|aid|goods|eec|article|agent|costs|loading|supply|products|port|referred|quantity,EEC,1,2,European Communities,MT 1016 European construction,10 EUROPEAN UNION
EU_en_Pres1-100_1,country|recipient|european|community|economic|agreement|delivery|aid|goods|eec|article|agent|costs|loading|supply|products|port|referred|quantity,costing,1,2,management accounting,MT 4026 accounting,40 BUSINESS AND COMPETITION
EU_en_Pres1-100_1,country|recipient|european|community|economic|agreement|delivery|aid|goods|eec|article|agent|costs|loading|supply|products|port|referred|quantity,load,1,3,carriage of goods,MT 4811 organisation of transport,48 TRANSPORT
EU_en_Pres1-100_1,country|recipient|european|community|economic|agreement|delivery|aid|goods|eec|article|agent|costs|loading|supply|products|port|referred|quantity,supply,1,1,supply,MT 2016 trade,20 TRADE
EU_en_Pres1-100_1,country|recipient|european|community|economic|agreement|delivery|aid|goods|eec|article|agent|costs|loading|supply|products|port|referred|quantity,production,1,1,production,MT 6406 production,"64 PRODUCTION, TECHNOLOGY AND RESEARCH"
EU_en_Pres1-100_1,country|recipient|european|community|economic|agreement|delivery|aid|goods|eec|article|agent|costs|loading|supply|products|port|referred|quantity,port,1,2,ports policy,MT 4821 maritime and inland waterway transport,48 TRANSPORT
EU_en_Pres1-100_1,country|recipient|european|community|economic|agreement|delivery|aid|goods|eec|article|agent|costs|loading|supply|products|port|referred|quantity,recipient country,2,3,aid system,MT 0811 cooperation policy,08 INTERNATIONAL RELATIONS
EU_en_Pres1-100_1,country|recipient|european|community|economic|agreement|delivery|aid|goods|eec|article|agent|costs|loading|supply|products|port|referred|quantity,European countries,2,1,European countries,MT 7206 Europe,72 GEOGRAPHY
EU_en_Pres1-100_2,agreement|community|parties|negotiations|contracting|economic|party|provisions|concluded|article|agreements|delegation|joint|conclusion|force|respect|procedures|view|recommendation,agreement ,1,2,EU relations,MT 1016 European construction,10 EUROPEAN UNION
EU_en_Pres1-100_2,agreement|community|parties|negotiations|contracting|economic|party|provisions|concluded|article|agreements|delegation|joint|conclusion|force|respect|procedures|view|recommendation,contract,1,2,civil law,MT 1211 civil law,12 LAW
EU_en_Pres1-100_2,agreement|community|parties|negotiations|contracting|economic|party|provisions|concluded|article|agreements|delegation|joint|conclusion|force|respect|procedures|view|recommendation,economics,1,2,social sciences,MT 3611 humanities,36 SCIENCE
EU_en_Pres1-100_2,agreement|community|parties|negotiations|contracting|economic|party|provisions|concluded|article|agreements|delegation|joint|conclusion|force|respect|procedures|view|recommendation,provision,1,2,accounting,MT 4026 accounting,40 BUSINESS AND COMPETITION
EU_en_Pres1-100_2,agreement|community|parties|negotiations|contracting|economic|party|provisions|concluded|article|agreements|delegation|joint|conclusion|force|respect|procedures|view|recommendation,agreement ,1,2,EU relations,MT 1016 European construction,10 EUROPEAN UNION
EU_en_Pres1-100_2,agreement|community|parties|negotiations|contracting|economic|party|provisions|concluded|article|agreements|delegation|joint|conclusion|force|respect|procedures|view|recommendation,recommendation,1,2,international instrument,MT 0806 international affairs,08 INTERNATIONAL RELATIONS
EU_en_Pres1-100_2,agreement|community|parties|negotiations|contracting|economic|party|provisions|concluded|article|agreements|delegation|joint|conclusion|force|respect|procedures|view|recommendation,contractual agreement,2,2,civil law,MT 1211 civil law,12 LAW
EU_en_Pres1-100_2,agreement|community|parties|negotiations|contracting|economic|party|provisions|concluded|article|agreements|delegation|joint|conclusion|force|respect|procedures|view|recommendation,economic agreement,2,2,international agreement,MT 0806 international affairs,08 INTERNATIONAL RELATIONS
EU_en_Pres1-100_3,products|countries|community|tariff|preferences|states|islands|member|duties|article|imports|quotas|territories|amount|originating|ceilings|customs|generalized|maximum,production,1,1,production,MT 6406 production,"64 PRODUCTION, TECHNOLOGY AND RESEARCH"
EU_en_Pres1-100_3,products|countries|community|tariff|preferences|states|islands|member|duties|article|imports|quotas|territories|amount|originating|ceilings|customs|generalized|maximum,in country,2,4,euro area,MT 2406 monetary relations,24 FINANCE
EU_en_Pres1-100_3,products|countries|community|tariff|preferences|states|islands|member|duties|article|imports|quotas|territories|amount|originating|ceilings|customs|generalized|maximum,tariff,1,3,fixing of prices,MT 2451 prices,24 FINANCE
EU_en_Pres1-100_3,products|countries|community|tariff|preferences|states|islands|member|duties|article|imports|quotas|territories|amount|originating|ceilings|customs|generalized|maximum,State,1,1,State,MT 0406 political framework,04 POLITICS
EU_en_Pres1-100_3,products|countries|community|tariff|preferences|states|islands|member|duties|article|imports|quotas|territories|amount|originating|ceilings|customs|generalized|maximum,island,1,2,geophysical environment,MT 5211 natural environment,52 ENVIRONMENT
EU_en_Pres1-100_3,products|countries|community|tariff|preferences|states|islands|member|duties|article|imports|quotas|territories|amount|originating|ceilings|customs|generalized|maximum,import,1,2,trading operation,MT 2016 trade,20 TRADE
EU_en_Pres1-100_3,products|countries|community|tariff|preferences|states|islands|member|duties|article|imports|quotas|territories|amount|originating|ceilings|customs|generalized|maximum,quota,1,3,non-tariff barrier,MT 2021 international trade,20 TRADE
EU_en_Pres1-100_3,products|countries|community|tariff|preferences|states|islands|member|duties|article|imports|quotas|territories|amount|originating|ceilings|customs|generalized|maximum,territoriality,1,2,public international law,MT 1231 international law,12 LAW
EU_en_Pres1-100_3,products|countries|community|tariff|preferences|states|islands|member|duties|article|imports|quotas|territories|amount|originating|ceilings|customs|generalized|maximum,customs,1,2,customs regulations,MT 2011 tariff policy,20 TRADE
