topic_id,Topic 1 Label,Topic 1 URL,Topic 2 Label,Topic 2 URL,Number,File,Distribution,token1,token2,token3,token4,token5,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19
EU_en_Pres1-100_0,cereal-growing,http://eurovoc.europa.eu/318,regulation of agricultural production,http://eurovoc.europa.eu/2972,0,EU_en_Pres1-100,0.02726,cereals,amounts,wheat,products,rice,regulation,applicable,falling,compensatory,referred,barley,content,starch,exceeding,weight,dry,eec,headings,matter,
EU_en_Pres1-100_1,,,,,1,EU_en_Pres1-100,0.01816,country,recipient,european,community,economic,agreement,delivery,aid,goods,eec,article,agent,costs,loading,supply,products,port,referred,quantity,
EU_en_Pres1-100_2,,,,,2,EU_en_Pres1-100,0.0408,agreement,community,parties,negotiations,contracting,economic,party,provisions,concluded,article,agreements,delegation,joint,conclusion,force,respect,procedures,view,recommendation,
EU_en_Pres1-100_3,quantitative restriction,http://eurovoc.europa.eu/3591,,,3,EU_en_Pres1-100,0.00725,products,countries,community,tariff,preferences,states,islands,member,duties,article,imports,quotas,territories,amount,originating,ceilings,customs,generalized,maximum,
EU_en_Pres1-100_4,Portugal,http://eurovoc.europa.eu/2563,,,4,EU_en_Pres1-100,0.01728,protocol,products,originating,agreement,community,decision,joint,Portugal,article,committee,economic,definition,concerning,european,concept,force,portuguese,countries,annexed,
EU_en_Pres1-100_5,EU customs procedure,http://eurovoc.europa.eu/5842,,,5,EU_en_Pres1-100,0.01969,certificate,goods,customs,movement,authorities,article,State,form,certificates,eur,country,issued,exporter,community,provisions,exporting,products,conditions,referred,
EU_en_Pres1-100_6,budget appropriation,http://eurovoc.europa.eu/3253,,,6,EU_en_Pres1-100,0.03704,budget,financial,expenditure,appropriations,year,commission,total,resources,will,chapter,loans,article,financing,contributions,increase,investment,years,budgetary,aid,
EU_en_Pres1-100_7,European Council,http://eurovoc.europa.eu/128,,,7,EU_en_Pres1-100,0.05853,community,policy,member,states,commission,will,economic,common,european,measures,development,action,policies,council,objectives,problems,market,national,proposals,
EU_en_Pres1-100_8,labour market,http://eurovoc.europa.eu/1802,,,8,EU_en_Pres1-100,0.01514,social,workers,employment,labour,working,work,training,women,action,migrant,conditions,collective,vocational,participation,industrial,schemes,persons,living,worker,
EU_en_Pres1-100_9,product safety,http://eurovoc.europa.eu/4036,,,9,EU_en_Pres1-100,0.00865,test,gas,pressure,appliance,water,measuring,level,appliances,sound,rate,temperature,eec,tests,noise,conditions,approval,inspection,meter,type,
EU_en_Pres1-100_10,EAGGF,http://eurovoc.europa.eu/978,,,10,EU_en_Pres1-100,0.03185,aid,expenditure,amount,commission,granted,guarantee,financing,guidance,projects,agricultural,paid,EAGGF,fund,account,reimbursement,financial,respect,applications,premiums,
EU_en_Pres1-100_11,,,,,11,EU_en_Pres1-100,0.01707,law,rights,court,period,contract,authority,legal,treaty,commercial,protection,draft,provisions,european,justice,State,laws,communities,proceedings,statute,
EU_en_Pres1-100_12,hops,http://eurovoc.europa.eu/1261,,,12,EU_en_Pres1-100,0.00293,hops,reagents,area,areas,uranium,tissue,typing,varieties,northern,harvest,producer,hop,brewer,groups,aid,prospecting,reagent,de,european,
EU_en_Pres1-100_13,organisation of transport,http://eurovoc.europa.eu/2181,,,13,EU_en_Pres1-100,0.01231,transport,road,traffic,carriage,goods,vehicles,inland,tariffs,system,vehicle,services,rates,international,regulation,regulations,waterway,vessels,infrastructure,undertakings,
EU_en_Pres1-100_14,consumer protection,http://eurovoc.europa.eu/2836,,,14,EU_en_Pres1-100,0.00896,member,grouping,checks,states,members,irregularities,contract,control,regulation,national,consumer,inspection,nationals,legal,illegal,rights,carried,regulations,persons,
EU_en_Pres1-100_15,social protection,http://eurovoc.europa.eu/100214,,,15,EU_en_Pres1-100,0.01198,staff,benefits,security,employed,health,allowance,social,employment,july,family,conditions,servants,pension,officials,regulations,salary,insurance,remuneration,pensions,
EU_en_Pres1-100_16,cheese,http://eurovoc.europa.eu/1102,Spain,http://eurovoc.europa.eu/863,16,EU_en_Pres1-100,0.00828,weight,cheese,exceeding,cheese,net,content,Spain,spanish,fat,milk,subheading,products,frontier,ua,minimum,falling,annex,customs,free,
EU_en_Pres1-100_17,prices policy,http://eurovoc.europa.eu/2489,,,17,EU_en_Pres1-100,0.0721,price,prices,market,year,marketing,fixed,products,account,community,reference,common,fixing,average,amount,level,basis,product,production,threshold,
EU_en_Pres1-100_18,agricultural quota,http://eurovoc.europa.eu/2974,olive oil,http://eurovoc.europa.eu/1264,18,EU_en_Pres1-100,0.02536,agricultural,oil,products,common,rate,olive,measures,seed,agriculture,marketing,production,amounts,milk,cereals,oils,seeds,colza,rates,wheat,
EU_en_Pres1-100_19,,,,,19,EU_en_Pres1-100,0.02298,committee,commission,members,chairman,working,representatives,meetings,opinion,set,advisory,three,decision,office,meeting,member,work,representative,party,request,
EU_en_Pres1-100_20,,,,,20,EU_en_Pres1-100,0.05183,member,states,Netherlands,Italy,kingdom,Germany,Luxembourg,Ireland,Belgium,united,France,Denmark,countries,total,State,prance,number,table,national,
EU_en_Pres1-100_21,,,,,21,EU_en_Pres1-100,0.00662,vehicles,european,project,education,local,motor,EDF,educational,based,Europe,bureaux,office,number,press,Bonaire,territory,will,teachers,hotel,
EU_en_Pres1-100_22,air and space transport,http://eurovoc.europa.eu/100241,regional aid,http://eurovoc.europa.eu/976,22,EU_en_Pres1-100,0.01187,regional,regions,development,aircraft,industry,industrial,region,population,areas,employment,economic,national,european,investment,rate,sector,growth,average,total,
EU_en_Pres1-100_23,allowances and expenses,http://eurovoc.europa.eu/3557,budget appropriation,http://eurovoc.europa.eu/3253,23,EU_en_Pres1-100,0.01241,expenditure,appropriation,staff,appropriations,technical,cover,account,posts,council,expenses,article,units,chapter,scientific,officials,travel,covers,equipment,office,
