fake_id,id,term,length,fingerprint_cleaned,fingerprint_stem,category,descriptor_id,link,mt,title,french,domain,broader_terms,bt1,bts,profondeur
7084,1,long-term investment,2,investment longterm,invest longterm,used_for,1002,http://eurovoc.europa.eu/1002,MT 2426 financing and investment,long-term financing,financement à long terme,24 FINANCE,1000,financing,BT1 financing,2
7085,2,long-term investment fund,3,fund investment longterm,fund invest longterm,used_for,1002,http://eurovoc.europa.eu/1002,MT 2426 financing and investment,long-term financing,financement à long terme,24 FINANCE,1000,financing,BT1 financing,2
7086,3,ELTIF,1,eltif,eltif,used_for,1002,http://eurovoc.europa.eu/1002,MT 2426 financing and investment,long-term financing,financement à long terme,24 FINANCE,1000,financing,BT1 financing,2
7087,4,European long-term investment fund,4,european fund investment longterm,european fund invest longterm,used_for,1002,http://eurovoc.europa.eu/1002,MT 2426 financing and investment,long-term financing,financement à long terme,24 FINANCE,1000,financing,BT1 financing,2
7088,5,Community financing,2,community financing,communiti financ,used_for,1005,http://eurovoc.europa.eu/1005,MT 1021 EU finance,EU financing,financement de l'UE,10 EUROPEAN UNION,,Community financing,,1
7089,6,European Union financing,3,european financing union,european financ union,used_for,1005,http://eurovoc.europa.eu/1005,MT 1021 EU finance,EU financing,financement de l'UE,10 EUROPEAN UNION,,European Union financing,,1
7090,7,excise tax,2,excise tax,excis tax,used_for,1015,http://eurovoc.europa.eu/1015,MT 2446 taxation,excise duty,accise,24 FINANCE,1321,tax on consumption,BT1 tax on consumption,2
7091,8,district finances,2,district finances,district financ,used_for,1017,http://eurovoc.europa.eu/1017,MT 2436 public finance and budget policy,local authority finances,finances locales,24 FINANCE,1018,public finance,BT1 public finance,2
7092,9,municipal finances,2,finances municipal,financ municip,used_for,1017,http://eurovoc.europa.eu/1017,MT 2436 public finance and budget policy,local authority finances,finances locales,24 FINANCE,1018,public finance,BT1 public finance,2
7093,10,Republic of Finland,3,finland republic,finland republ,used_for,1019,http://eurovoc.europa.eu/1019,MT 7206 Europe || MT 7231 economic geography || MT 7236 political geography,Finland,Finlande,72 GEOGRAPHY,"122, 130, 2106, 5283, 911",Northern Europe || EU Member State || OECD countries || Council of Europe countries || Nordic Council countries,BT1 Northern Europe|BT1 EU Member State BT1 OECD countries|BT1 Council of Europe countries BT1 Nordic Council countries,2
7094,11,United Nations Children's Fund,4,childrens fund nations united,children fund nation unit,used_for,1022,http://eurovoc.europa.eu/1022,MT 7606 United Nations,Unicef,Unicef,76 INTERNATIONAL ORGANISATIONS,4365,UN programmes and funds,BT1 UN programmes and funds,2
7095,12,United Nations International Children's Emergency Fund,6,childrens emergency fund international nations united,children emerg fund intern nation unit,used_for,1022,http://eurovoc.europa.eu/1022,MT 7606 United Nations,Unicef,Unicef,76 INTERNATIONAL ORGANISATIONS,4365,UN programmes and funds,BT1 UN programmes and funds,2
7096,13,IEA,1,iea,iea,used_for,1024,http://eurovoc.europa.eu/1024,MT 7621 world organisations,International Energy Agency,Agence internationale de l'énergie,76 INTERNATIONAL ORGANISATIONS,2105,OECD,BT1 OECD BT2 world organisation,3
7097,14,price proposal,2,price proposal,price propos,used_for,1025,http://eurovoc.europa.eu/1025,MT 2451 prices,fixing of prices,fixation des prix,24 FINANCE,2489,prices policy,BT1 prices policy,2
7098,15,pricing,1,pricing,price,used_for,1025,http://eurovoc.europa.eu/1025,MT 2451 prices,fixing of prices,fixation des prix,24 FINANCE,2489,prices policy,BT1 prices policy,2
7099,16,adjustment to remuneration,3,adjustment remuneration,adjust remuner,used_for,1026,http://eurovoc.europa.eu/1026,MT 4421 personnel management and staff remuneration,wage determination,fixation du salaire,44 EMPLOYMENT AND WORKING CONDITIONS,2491,pay policy,BT1 pay policy,2
7100,17,fixing of pay,3,fixing pay,fix pay,used_for,1026,http://eurovoc.europa.eu/1026,MT 4421 personnel management and staff remuneration,wage determination,fixation du salaire,44 EMPLOYMENT AND WORKING CONDITIONS,2491,pay policy,BT1 pay policy,2
7101,18,wage adjustment,2,adjustment wage,adjust wage,used_for,1026,http://eurovoc.europa.eu/1026,MT 4421 personnel management and staff remuneration,wage determination,fixation du salaire,44 EMPLOYMENT AND WORKING CONDITIONS,2491,pay policy,BT1 pay policy,2
7102,19,wage fixing,2,fixing wage,fix wage,used_for,1026,http://eurovoc.europa.eu/1026,MT 4421 personnel management and staff remuneration,wage determination,fixation du salaire,44 EMPLOYMENT AND WORKING CONDITIONS,2491,pay policy,BT1 pay policy,2
7103,20,wage rate,2,rate wage,rate wage,used_for,1026,http://eurovoc.europa.eu/1026,MT 4421 personnel management and staff remuneration,wage determination,fixation du salaire,44 EMPLOYMENT AND WORKING CONDITIONS,2491,pay policy,BT1 pay policy,2
7104,21,porridge,1,porridge,porridg,used_for,1029,http://eurovoc.europa.eu/1029,MT 6026 foodstuff,cereal flakes,flocon de céréale,60 AGRI-FOODSTUFFS,2729,cereal product,BT1 cereal product BT2 processed food product,3
7105,22,flower,1,flower,flower,used_for,1031,http://eurovoc.europa.eu/1031,MT 5631 agricultural activity,floriculture,floriculture,"56 AGRICULTURE, FORESTRY AND FISHERIES",2723,crop production,BT1 crop production,2
7106,23,flower-growing,1,flowergrowing,flowergrow,used_for,1031,http://eurovoc.europa.eu/1031,MT 5631 agricultural activity,floriculture,floriculture,"56 AGRICULTURE, FORESTRY AND FISHERIES",2723,crop production,BT1 crop production,2
7107,24,floating,1,floating,float,used_for,1032,http://eurovoc.europa.eu/1032,MT 4821 maritime and inland waterway transport,rafting,flottage,48 TRANSPORT,4515,inland waterway transport,BT1 inland waterway transport,2
7108,25,IAEA,1,iaea,iaea,used_for,1034,http://eurovoc.europa.eu/1034,MT 7621 world organisations,International Atomic Energy Agency,Agence internationale de l'énergie atomique,76 INTERNATIONAL ORGANISATIONS,2188,world organisation,BT1 world organisation,2
7109,26,fishing capacity,2,capacity fishing,capac fish,used_for,1035,http://eurovoc.europa.eu/1035,MT 5641 fisheries,fishing fleet,flotte de pêche,"56 AGRICULTURE, FORESTRY AND FISHERIES",5913,fisheries structure,BT1 fisheries structure,2
7110,27,Merchant Navy,2,merchant navy,merchant navi,used_for,1037,http://eurovoc.europa.eu/1037,MT 4821 maritime and inland waterway transport,merchant fleet,flotte marchande,48 TRANSPORT,4522,maritime transport,BT1 maritime transport,2
7111,28,merchant marine,2,marine merchant,marin merchant,used_for,1037,http://eurovoc.europa.eu/1037,MT 4821 maritime and inland waterway transport,merchant fleet,flotte marchande,48 TRANSPORT,4522,maritime transport,BT1 maritime transport,2
