topic_id,tokens,term,french,length,profondeur,category,link,bt1,mt,domain
Topic 1,account,account,compte,1,2,descriptor,http://eurovoc.europa.eu/61,accounting,MT 4026 accounting,40 BUSINESS AND COMPETITION
Topic 10,account,account,compte,1,2,descriptor,http://eurovoc.europa.eu/61,accounting,MT 4026 accounting,40 BUSINESS AND COMPETITION
Topic 12,account,account,compte,1,2,descriptor,http://eurovoc.europa.eu/61,accounting,MT 4026 accounting,40 BUSINESS AND COMPETITION
Topic 2,account,account,compte,1,2,descriptor,http://eurovoc.europa.eu/61,accounting,MT 4026 accounting,40 BUSINESS AND COMPETITION
Topic 7,account,account,compte,1,2,descriptor,http://eurovoc.europa.eu/61,accounting,MT 4026 accounting,40 BUSINESS AND COMPETITION
Topic 3,acid,acid,acide,1,2,descriptor,http://eurovoc.europa.eu/5035,chemical compound,MT 6811 chemistry,68 INDUSTRY
Topic 11,agreement,agreement (EU),accord (UE),2,2,descriptor,http://eurovoc.europa.eu/1474,EU relations,MT 1016 European construction,10 EUROPEAN UNION
Topic 3,agreement,agreement (EU),accord (UE),2,2,descriptor,http://eurovoc.europa.eu/1474,EU relations,MT 1016 European construction,10 EUROPEAN UNION
Topic 5,agreement,agreement (EU),accord (UE),2,2,descriptor,http://eurovoc.europa.eu/1474,EU relations,MT 1016 European construction,10 EUROPEAN UNION
Topic 8,agreement,agreement (EU),accord (UE),2,2,descriptor,http://eurovoc.europa.eu/1474,EU relations,MT 1016 European construction,10 EUROPEAN UNION
Topic 13,agriculture,agriculture,secteur agricole,1,3,used_for,http://eurovoc.europa.eu/5886,primary sector,MT 1621 economic structure,16 ECONOMICS
Topic 10,aid,aid,soutien économique,1,1,used_for,http://eurovoc.europa.eu/712,aid,MT 1606 economic policy,16 ECONOMICS
Topic 11,aid,aid,soutien économique,1,1,used_for,http://eurovoc.europa.eu/712,aid,MT 1606 economic policy,16 ECONOMICS
Topic 2,aid,aid,soutien économique,1,1,used_for,http://eurovoc.europa.eu/712,aid,MT 1606 economic policy,16 ECONOMICS
Topic 7,aid,aid,soutien économique,1,1,used_for,http://eurovoc.europa.eu/712,aid,MT 1606 economic policy,16 ECONOMICS
Topic 6,air,air,atmosphère,1,2,used_for,http://eurovoc.europa.eu/3967,physical environment,MT 5211 natural environment,52 ENVIRONMENT
Topic 6,airport,airport,aéroport,1,2,descriptor,http://eurovoc.europa.eu/195,air transport,MT 4826 air and space transport,48 TRANSPORT
Topic 14,archives,archives,archives,1,2,descriptor,http://eurovoc.europa.eu/2492,information service,MT 3221 documentation,32 EDUCATION AND COMMUNICATIONS
Topic 8,bangladesh,Bangladesh,Bangladesh,1,2,descriptor,http://eurovoc.europa.eu/4732,South Asia || SAARC countries,MT 7226 Asia and Oceania || MT 7231 economic geography,72 GEOGRAPHY
Topic 10,beef,beef,viande bovine,1,3,descriptor,http://eurovoc.europa.eu/4682,meat,MT 6011 animal product,60 AGRI-FOODSTUFFS
Topic 7,budget,budget,budget,1,2,descriptor,http://eurovoc.europa.eu/5050,budget policy,MT 2436 public finance and budget policy,24 FINANCE
Topic 10,butter,butter,beurre,1,2,descriptor,http://eurovoc.europa.eu/4860,milk product,MT 6016 processed agricultural produce,60 AGRI-FOODSTUFFS
Topic 10,cereals,cereals,céréale,1,1,descriptor,http://eurovoc.europa.eu/5360,cereals,MT 6006 plant product,60 AGRI-FOODSTUFFS
Topic 2,coal,coal,charbon,1,2,descriptor,http://eurovoc.europa.eu/5386,coal industry,MT 6611 coal and mining industries,66 ENERGY
Topic 11,committee,committee (EU),comité (UE),2,2,descriptor,http://eurovoc.europa.eu/6049,EU office or agency,MT 1006 EU institutions and European civil service,10 EUROPEAN UNION
Topic 4,committee,committee (EU),comité (UE),2,2,descriptor,http://eurovoc.europa.eu/6049,EU office or agency,MT 1006 EU institutions and European civil service,10 EUROPEAN UNION
Topic 5,committee,committee (EU),comité (UE),2,2,descriptor,http://eurovoc.europa.eu/6049,EU office or agency,MT 1006 EU institutions and European civil service,10 EUROPEAN UNION
Topic 6,consignment,consignment,livraison,1,2,used_for,http://eurovoc.europa.eu/1684,distributive trades,MT 2036 distributive trades,20 TRADE
Topic 9,construction,construction,bâtiment,1,2,used_for,http://eurovoc.europa.eu/4831,building industry,MT 6831 building and public works,68 INDUSTRY
Topic 2,consumption,consumption,consommation,1,1,descriptor,http://eurovoc.europa.eu/139,consumption,MT 2026 consumption,20 TRADE
Topic 1,contract,contract,contrat,1,2,descriptor,http://eurovoc.europa.eu/164,civil law,MT 1211 civil law,12 LAW
Topic 8,cotton,cotton,coton,1,2,descriptor,http://eurovoc.europa.eu/252,textile plant,MT 6006 plant product,60 AGRI-FOODSTUFFS
Topic 1,credit,credit,crédit,1,1,descriptor,http://eurovoc.europa.eu/285,credit,MT 2416 financial institutions and credit,24 FINANCE
Topic 12,customs,customs,douane,1,2,descriptor,http://eurovoc.europa.eu/502,customs regulations,MT 2011 tariff policy,20 TRADE
Topic 3,customs,customs,douane,1,2,descriptor,http://eurovoc.europa.eu/502,customs regulations,MT 2011 tariff policy,20 TRADE
Topic 6,customs,customs,douane,1,2,descriptor,http://eurovoc.europa.eu/502,customs regulations,MT 2011 tariff policy,20 TRADE
Topic 11,date,date,fruit tropical,1,2,used_for,http://eurovoc.europa.eu/1120,fruit,MT 6006 plant product,60 AGRI-FOODSTUFFS
Topic 13,date,date,fruit tropical,1,2,used_for,http://eurovoc.europa.eu/1120,fruit,MT 6006 plant product,60 AGRI-FOODSTUFFS
Topic 6,date,date,fruit tropical,1,2,used_for,http://eurovoc.europa.eu/1120,fruit,MT 6006 plant product,60 AGRI-FOODSTUFFS
Topic 5,decision,decision,décision,1,4,descriptor,http://eurovoc.europa.eu/348,regulation,MT 1206 sources and branches of the law,12 LAW
Topic 7,decision,decision,décision,1,4,descriptor,http://eurovoc.europa.eu/348,regulation,MT 1206 sources and branches of the law,12 LAW
Topic 5,decision,decision (EU),décision (UE),2,2,descriptor,http://eurovoc.europa.eu/349,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 7,decision,decision (EU),décision (UE),2,2,descriptor,http://eurovoc.europa.eu/349,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 11,delivery,delivery,livraison,1,2,descriptor,http://eurovoc.europa.eu/1684,distributive trades,MT 2036 distributive trades,20 TRADE
Topic 2,demand,demand,offre et demande,1,1,used_for,http://eurovoc.europa.eu/2128,demand,MT 2016 trade,20 TRADE
Topic 13,denmark,Denmark,Danemark,1,2,descriptor,http://eurovoc.europa.eu/336,Northern Europe || EU Member State || OECD countries || Council of Europe countries || NATO countries || Nordic Council countries,MT 7206 Europe || MT 7231 economic geography || MT 7236 political geography,72 GEOGRAPHY
Topic 13,department,department (France),département,2,2,descriptor,http://eurovoc.europa.eu/390,regional and local authorities,MT 0436 executive power and public service,04 POLITICS
Topic 1,directive,directive,directive,1,4,descriptor,http://eurovoc.europa.eu/448,regulation,MT 1206 sources and branches of the law,12 LAW
Topic 5,directive,directive,directive,1,4,descriptor,http://eurovoc.europa.eu/448,regulation,MT 1206 sources and branches of the law,12 LAW
Topic 9,directive,directive,directive,1,4,descriptor,http://eurovoc.europa.eu/448,regulation,MT 1206 sources and branches of the law,12 LAW
Topic 1,directive,directive (EU),directive (UE),2,2,descriptor,http://eurovoc.europa.eu/449,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 5,directive,directive (EU),directive (UE),2,2,descriptor,http://eurovoc.europa.eu/449,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 9,directive,directive (EU),directive (UE),2,2,descriptor,http://eurovoc.europa.eu/449,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 5,draft,draft,titre de crédit,1,4,used_for,http://eurovoc.europa.eu/4463,deposit money,MT 2411 monetary economics,24 FINANCE
Topic 7,draft,draft,titre de crédit,1,4,used_for,http://eurovoc.europa.eu/4463,deposit money,MT 2411 monetary economics,24 FINANCE
Topic 7,eca,ECA,Cour des comptes européenne,1,2,used_for,http://eurovoc.europa.eu/256,EU institution,MT 1006 EU institutions and European civil service,10 EUROPEAN UNION
Topic 7,eca,ECA,commission régionale ONU,1,3,used_for,http://eurovoc.europa.eu/8386,Ecosoc,MT 7606 United Nations,76 INTERNATIONAL ORGANISATIONS
