topic_id,tokens,term,dist,french,length,profondeur,category,link,bt1,mt,domain
Topic 93,account,account,0,compte,1,2,descriptor,http://eurovoc.europa.eu/61,accounting,MT 4026 accounting,40 BUSINESS AND COMPETITION
Topic 36,account,account,0,compte,1,2,descriptor,http://eurovoc.europa.eu/61,accounting,MT 4026 accounting,40 BUSINESS AND COMPETITION
Topic 166,account,account,0,compte,1,2,descriptor,http://eurovoc.europa.eu/61,accounting,MT 4026 accounting,40 BUSINESS AND COMPETITION
Topic 229,account,account,0,compte,1,2,descriptor,http://eurovoc.europa.eu/61,accounting,MT 4026 accounting,40 BUSINESS AND COMPETITION
Topic 123,account,account,0,compte,1,2,descriptor,http://eurovoc.europa.eu/61,accounting,MT 4026 accounting,40 BUSINESS AND COMPETITION
Topic 2,acid,acid,0,acide,1,2,descriptor,http://eurovoc.europa.eu/5035,chemical compound,MT 6811 chemistry,68 INDUSTRY
Topic 110,advance,advance,0,avance de trésorerie,1,2,descriptor,http://eurovoc.europa.eu/4383,budget financing,MT 2441 budget,24 FINANCE
Topic 32,advance,advance,0,avance de trésorerie,1,2,descriptor,http://eurovoc.europa.eu/4383,budget financing,MT 2441 budget,24 FINANCE
Topic 205,advertising,advertising,0,publicité,1,2,descriptor,http://eurovoc.europa.eu/2862,marketing,MT 2031 marketing,20 TRADE
Topic 27,agreement,agreement (EU),0,accord (UE),2,2,descriptor,http://eurovoc.europa.eu/1474,EU relations,MT 1016 European construction,10 EUROPEAN UNION
Topic 89,agreement,agreement (EU),0,accord (UE),2,2,descriptor,http://eurovoc.europa.eu/1474,EU relations,MT 1016 European construction,10 EUROPEAN UNION
Topic 19,agreement,agreement (EU),0,accord (UE),2,2,descriptor,http://eurovoc.europa.eu/1474,EU relations,MT 1016 European construction,10 EUROPEAN UNION
Topic 247,agreement,agreement (EU),0,accord (UE),2,2,descriptor,http://eurovoc.europa.eu/1474,EU relations,MT 1016 European construction,10 EUROPEAN UNION
Topic 18,agreement,agreement (EU),0,accord (UE),2,2,descriptor,http://eurovoc.europa.eu/1474,EU relations,MT 1016 European construction,10 EUROPEAN UNION
Topic 71,agreement,agreement (EU),0,accord (UE),2,2,descriptor,http://eurovoc.europa.eu/1474,EU relations,MT 1016 European construction,10 EUROPEAN UNION
Topic 75,agreement,agreement (EU),0,accord (UE),2,2,descriptor,http://eurovoc.europa.eu/1474,EU relations,MT 1016 European construction,10 EUROPEAN UNION
Topic 153,agreement,agreement (EU),0,accord (UE),2,2,descriptor,http://eurovoc.europa.eu/1474,EU relations,MT 1016 European construction,10 EUROPEAN UNION
Topic 225,agreement,agreement (EU),0,accord (UE),2,2,descriptor,http://eurovoc.europa.eu/1474,EU relations,MT 1016 European construction,10 EUROPEAN UNION
Topic 54,agreement,agreement (EU),0,accord (UE),2,2,descriptor,http://eurovoc.europa.eu/1474,EU relations,MT 1016 European construction,10 EUROPEAN UNION
Topic 130,agreement,agreement (EU),0,accord (UE),2,2,descriptor,http://eurovoc.europa.eu/1474,EU relations,MT 1016 European construction,10 EUROPEAN UNION
Topic 81,agreement,agreement (EU),0,accord (UE),2,2,descriptor,http://eurovoc.europa.eu/1474,EU relations,MT 1016 European construction,10 EUROPEAN UNION
Topic 115,agreement,agreement (EU),0,accord (UE),2,2,descriptor,http://eurovoc.europa.eu/1474,EU relations,MT 1016 European construction,10 EUROPEAN UNION
Topic 246,agreement,agreement (EU),0,accord (UE),2,2,descriptor,http://eurovoc.europa.eu/1474,EU relations,MT 1016 European construction,10 EUROPEAN UNION
Topic 62,agriculture,agriculture,0,secteur agricole,1,3,used_for,http://eurovoc.europa.eu/5886,primary sector,MT 1621 economic structure,16 ECONOMICS
Topic 148,agriculture,agriculture,0,secteur agricole,1,3,used_for,http://eurovoc.europa.eu/5886,primary sector,MT 1621 economic structure,16 ECONOMICS
Topic 227,agriculture,agriculture,0,secteur agricole,1,3,used_for,http://eurovoc.europa.eu/5886,primary sector,MT 1621 economic structure,16 ECONOMICS
Topic 155,aid,aid,0,soutien économique,1,1,used_for,http://eurovoc.europa.eu/712,aid,MT 1606 economic policy,16 ECONOMICS
Topic 32,aid,aid,0,soutien économique,1,1,used_for,http://eurovoc.europa.eu/712,aid,MT 1606 economic policy,16 ECONOMICS
Topic 79,aid,aid,0,soutien économique,1,1,used_for,http://eurovoc.europa.eu/712,aid,MT 1606 economic policy,16 ECONOMICS
Topic 194,aid,aid,0,soutien économique,1,1,used_for,http://eurovoc.europa.eu/712,aid,MT 1606 economic policy,16 ECONOMICS
Topic 188,aid,aid,0,soutien économique,1,1,used_for,http://eurovoc.europa.eu/712,aid,MT 1606 economic policy,16 ECONOMICS
Topic 75,aid,aid,0,soutien économique,1,1,used_for,http://eurovoc.europa.eu/712,aid,MT 1606 economic policy,16 ECONOMICS
Topic 83,aid,aid,0,soutien économique,1,1,used_for,http://eurovoc.europa.eu/712,aid,MT 1606 economic policy,16 ECONOMICS
Topic 117,aid,aid,0,soutien économique,1,1,used_for,http://eurovoc.europa.eu/712,aid,MT 1606 economic policy,16 ECONOMICS
Topic 148,aid,aid,0,soutien économique,1,1,used_for,http://eurovoc.europa.eu/712,aid,MT 1606 economic policy,16 ECONOMICS
Topic 49,aid,aid,0,soutien économique,1,1,used_for,http://eurovoc.europa.eu/712,aid,MT 1606 economic policy,16 ECONOMICS
Topic 131,aid,aid,0,soutien économique,1,1,used_for,http://eurovoc.europa.eu/712,aid,MT 1606 economic policy,16 ECONOMICS
Topic 65,aid,aid,0,soutien économique,1,1,used_for,http://eurovoc.europa.eu/712,aid,MT 1606 economic policy,16 ECONOMICS
Topic 213,aid,aid,0,soutien économique,1,1,used_for,http://eurovoc.europa.eu/712,aid,MT 1606 economic policy,16 ECONOMICS
