value,stem
cereals,cereal
country,countri
agreement,agreement
products,product
protocol,protocol
certificate,certif
budget,budget
community,commun
social,social
test,test
aid,aid
law,law
hops,hop
transport,transport
member,member
staff,staff
weight,weight
price,price
agricultural,agricultur
committee,committe
member,member
vehicles,vehicl
regional,region
expenditure,expenditur
cf,cf
directive,direct
directive,direct
milk,milk
light,light
fabrics,fabric
fruit,fruit
project,project
number,number
fund,fund
countries,countri
community,commun
regulation,regul
united,unit
pollution,pollut
eggs,egg
tho,tho
cocoa,cocoa
type,type
coal,coal
seed,seed
company,compani
nuclear,nuclear
article,articl
commission,commiss
tender,tender
contracting,contract
customs,custom
project,project
woven,woven
energy,energi
paper,paper
apparatus,apparatu
credit,credit
holdings,hold
aid,aid
group,group
fishing,fish
including,includ
programme,programm
economic,econom
community,commun
tax,tax
tho,tho
export,export
republic,republ
data,data
products,product
tion,tion
sugar,sugar
intervention,intervent
market,market
compensatory,compensatori
products,product
beef,beef
products,product
community,commun
steel,steel
wine,wine
varieties,varieti
tariff,tariff
amounts,amount
goods,good
securities,secur
financial,financi
system,system
directive,direct
convention,convent
community,commun
member,member
convention,convent
treaty,treati
description,descript
programme,programm
car,car
member,member
amounts,amount
fund,fund
article,articl
commission,commiss
securities,secur
directive,direct
products,product
tax,tax
including,includ
product,product
contract,contract
agreement,agreement
contracting,contract
test,test
increase,increas
description,descript
member,member
convention,convent
holdings,hold
regulation,regul
project,project
products,product
member,member
coal,coal
fishing,fish
products,product
tho,tho
amounts,amount
price,price
aid,aid
european,european
social,social
tender,tender
energy,energi
goods,good
pollution,pollut
type,type
seed,seed
expenditure,expenditur
transport,transport
country,countri
economic,econom
regional,region
agreement,agreement
countries,countri
community,commun
programme,programm
kingdom,kingdom
woven,woven
company,compani
coal,coal
tax,tax
material,materi
education,educ
staff,staff
employment,employ
convention,convent
energy,energi
GATT,GATT
regulation,regul
aid,aid
fishing,fish
benefits,benefit
research,research
rate,rate
member,member
nuclear,nuclear
aid,aid
expenditure,expenditur
countries,countri
community,commun
information,inform
price,price
fund,fund
eec,eec
goods,good
financial,financi
Ireland,Ireland
meat,meat
agreement,agreement
test,test
countries,countri
milk,milk
north,north
products,product
textile,textil
member,member
wine,wine
weight,weight
countries,countri
production,product
safety,safeti
description,descript
paper,paper
products,product
commission,commiss
tho,tho
contracting,contract
transport,transport
Portugal,Portug
including,includ
agreement,agreement
training,train
prices,price
aid,aid
energy,energi
quotas,quota
community,commun
textile,textil
tax,tax
support,support
member,member
kingdom,kingdom
convention,convent
eec,eec
fishing,fish
staff,staff
community,commun
steel,steel
regions,region
appropriations,appropri
acp,acp
regulation,regul
Ecu,Ecu
eec,eec
goods,good
time,time
ii,ii
member,member
participants,particip
technology,technologi
directive,direct
mm,mm
appropriations,appropri
price,price
will,will
community,commun
ECSC,ECSC
limit,limit
benefits,benefit
community,commun
programme,programm
community,commun
regulation,regul
